Prefab,Root,RootPosition,RootScale,GameObjects,Colliders,RootScripts,FunctionalPoints,NestedPrefabs
Assets/_Project/Prefabs/Architecture/Modular/AutomaticDoor.prefab,AutomaticDoor,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",10,0,"StoreVisualInstance, AutomaticDoorParts",,0
Assets/_Project/Prefabs/Architecture/Modular/BackroomPartition.prefab,BackroomPartition,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",19,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/CornerInner.prefab,CornerInner,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/CornerOuter.prefab,CornerOuter,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/EndCap.prefab,EndCap,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/EntranceThreshold.prefab,EntranceThreshold,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",13,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/Floor100.prefab,Floor100,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/Floor200.prefab,Floor200,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/FloorEdge100.prefab,FloorEdge100,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/FloorTransition100.prefab,FloorTransition100,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/LightRail100.prefab,LightRail100,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/LightRail200.prefab,LightRail200,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/LinearPanel.prefab,LinearPanel,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/SpotLight.prefab,SpotLight,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",13,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/StoreGlassLeft.prefab,StoreGlassLeft,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/StoreGlassRight.prefab,StoreGlassRight,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",3,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/StoreSign.prefab,StoreSign,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",10,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/StorefrontFacade.prefab,StorefrontFacade,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",19,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/Wall100.prefab,Wall100,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",13,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/Wall200.prefab,Wall200,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",13,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/Wall400.prefab,Wall400,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",13,0,StoreVisualInstance,,0
Assets/_Project/Prefabs/Architecture/Modular/ZoneBackroom.prefab,ZoneBackroom,"{x: 0, y: 0, z: 0}","{x: 1, y: 1, z: 1}",16,0,StoreVisualInstance,,0
